ID,Name,City,Country,Award,Source List,Cuisine\
1,8 1/2 Otto e Mezzo BOMBANA,Macau,China,5-Star,Forbes Travel Guide,N/A\
2,Addison Restaurant,San Diego,United States,5-Star,Forbes Travel Guide,N/A\
3,Alain Ducasse at Morpheus,Macau,China,5-Star,Forbes Travel Guide,N/A\
4,Alinea,Chicago,United States,5-Star,Forbes Travel Guide,N/A\
5,Amber,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
6,Atelier Crenn,San Francisco,United States,5-Star,Forbes Travel Guide,N/A\
7,Aubergine at L'Auberge Carmel,Monterey,United States,5-Star,Forbes Travel Guide,N/A\
8,Aurora,Macau,China,5-Star,Forbes Travel Guide,N/A\
9,Benu,San Francisco,United States,5-Star,Forbes Travel Guide,N/A\
10,Blue by Eric Ripert,Cayman Islands,Cayman Islands,5-Star,Forbes Travel Guide,N/A\
11,Bo Innovation,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
12,Caprice,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
13,Cara,Rhode Island,United States,5-Star,Forbes Travel Guide,N/A\
14,Caruso's,Santa Barbara,United States,5-Star,Forbes Travel Guide,N/A\
15,Chef Tam's Seasons,Macau,China,5-Star,Forbes Travel Guide,N/A\
16,Coast,Rhode Island,United States,5-Star,Forbes Travel Guide,N/A\
17,Daniel,New York City,United States,5-Star,Forbes Travel Guide,N/A\
18,Dinner by Heston Blumenthal Dubai,Dubai,United Arab Emirates,5-Star,Forbes Travel Guide,N/A\
19,Don Alfonso 1890,Macau,China,5-Star,Forbes Travel Guide,N/A\
20,The Eight,Macau,China,5-Star,Forbes Travel Guide,N/A\
21,Eleven Madison Park,New York City,United States,5-Star,Forbes Travel Guide,N/A\
22,Five Foot Road at MGM COTAI,Macau,China,5-Star,Forbes Travel Guide,N/A\
23,The French Laundry,Napa,United States,5-Star,Forbes Travel Guide,N/A\
24,Gabriel Kreuther,New York City,United States,5-Star,Forbes Travel Guide,N/A\
25,Gaddi's,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
26,Golden Flower at Encore Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
27,Harrimans Grill,Northern Virginia,United States,5-Star,Forbes Travel Guide,N/A\
28,Herons,Raleigh-Durham,United States,5-Star,Forbes Travel Guide,N/A\
29,The Huaiyang Garden,Macau,China,5-Star,Forbes Travel Guide,N/A\
30,Imperial Court at MGM MACAU,Macau,China,5-Star,Forbes Travel Guide,N/A\
31,The Inn at Little Washington,Northern Virginia,United States,5-Star,Forbes Travel Guide,N/A\
32,Jade Dragon,Macau,China,5-Star,Forbes Travel Guide,N/A\
33,Jean-Georges Philadelphia,Philadelphia,United States,5-Star,Forbes Travel Guide,N/A\
34,Jean-Georges,New York City,United States,5-Star,Forbes Travel Guide,N/A\
35,Jo\'ebl Robuchon,Las Vegas,United States,5-Star,Forbes Travel Guide,N/A\
36,Kai Restaurant,Phoenix,United States,5-Star,Forbes Travel Guide,N/A\
37,The Krug Room,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
38,Lautrec at Nemacolin,Laurel Highlands,United States,5-Star,Forbes Travel Guide,N/A\
39,Le Bernardin,New York City,United States,5-Star,Forbes Travel Guide,N/A\
40,Le Cirque Las Vegas,Las Vegas,United States,5-Star,Forbes Travel Guide,N/A\
41,L'Envol,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
42,Les Amis,Singapore,Singapore,5-Star,Forbes Travel Guide,N/A\
43,La Mer,Oahu,United States,5-Star,Forbes Travel Guide,N/A\
44,Lung King Heen,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
45,Mandarin Grill + Bar,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
46,Mar\'eda Dolores,Cancun,Mexico,5-Star,Forbes Travel Guide,N/A\
47,Masa,New York City,United States,5-Star,Forbes Travel Guide,N/A\
48,Mesa by Jos\'e9 Avillez,Macau,China,5-Star,Forbes Travel Guide,N/A\
49,Mizumi at Wynn Palace Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
50,Mugen,Oahu,United States,5-Star,Forbes Travel Guide,N/A\
51,NAOE,Miami,United States,5-Star,Forbes Travel Guide,N/A\
52,Nouvelle Epoque,Tokyo,Japan,5-Star,Forbes Travel Guide,N/A\
53,The Ocean Room,Charleston,United States,5-Star,Forbes Travel Guide,N/A\
54,Olivella,Ojai,United States,5-Star,Forbes Travel Guide,N/A\
55,Ossiano,Dubai,United Arab Emirates,5-Star,Forbes Travel Guide,N/A\
56,Palace Garden,Macau,China,5-Star,Forbes Travel Guide,N/A\
57,Pearl Dragon,Macau,China,5-Star,Forbes Travel Guide,N/A\
58,Per Se,New York City,United States,5-Star,Forbes Travel Guide,N/A\
59,The Restaurant at JUSTIN,Monterey,United States,5-Star,Forbes Travel Guide,N/A\
60,Restaurant Guy Savoy,Las Vegas,United States,5-Star,Forbes Travel Guide,N/A\
61,Robuchon au D\'f4me,Macau,China,5-Star,Forbes Travel Guide,N/A\
62,Row on 45,Dubai,United Arab Emirates,5-Star,Forbes Travel Guide,N/A\
63,Saison,San Francisco,United States,5-Star,Forbes Travel Guide,N/A\
64,SingleThread Farms Restaurant,Sonoma,United States,5-Star,Forbes Travel Guide,N/A\
65,Sushi Mizumi,Macau,China,5-Star,Forbes Travel Guide,N/A\
66,SW Steakhouse at Wynn Palace Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
67,Tenmasa at Altira Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
68,Tin Lung Heen,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
69,Twenty-Eight Atlantic,Cape Cod,United States,5-Star,Forbes Travel Guide,N/A\
70,Victoria & Albert's,Orlando,United States,5-Star,Forbes Travel Guide,N/A\
71,Waku Ghin,Singapore,Singapore,5-Star,Forbes Travel Guide,N/A\
72,The White Barn Inn Restaurant,Coastal Maine,United States,5-Star,Forbes Travel Guide,N/A\
73,Wing Lei at Wynn Las Vegas,Las Vegas,United States,5-Star,Forbes Travel Guide,N/A\
74,Wing Lei at Wynn Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
75,Yamazato Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
76,Ying at Altira Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
77,Y\'ed,Macau,China,5-Star,Forbes Travel Guide,N/A\
78,Zi Yat Heen,Macau,China,5-Star,Forbes Travel Guide,N/A\
79,Zuicho,Macau,China,5-Star,Forbes Travel Guide,N/A\
80,Ai Fiori,New York City,United States,4-Star,Forbes Travel Guide,N/A\
81,Aqueous at Nemacolin,Laurel Highlands,United States,4-Star,Forbes Travel Guide,N/A\
82,Armani/Ristorante Dubai,Dubai,United Arab Emirates,4-Star,Forbes Travel Guide,N/A\
83,Atlantis Steakhouse,Reno,United States,4-Star,Forbes Travel Guide,N/A\
84,Atlas Buckhead,Atlanta,United States,4-Star,Forbes Travel Guide,N/A\
85,At.mosphere Restaurant,Dubai,United Arab Emirates,4-Star,Forbes Travel Guide,N/A\
86,The Aubrey,Hong Kong,China,4-Star,Forbes Travel Guide,N/A\
87,Aurelia at Castle Hill,Rhode Island,United States,4-Star,Forbes Travel Guide,N/A\
88,Bacchanalia,Atlanta,United States,4-Star,Forbes Travel Guide,N/A\
89,The Belvedere,Los Angeles,United States,4-Star,Forbes Travel Guide,N/A\
90,Blue Hill at Stone Barns,Hudson Valley,United States,4-Star,Forbes Travel Guide,N/A\
91,Bourbon Steak Orange County,Orange County,United States,4-Star,Forbes Travel Guide,N/A\
92,Cane & Canoe,Maui,United States,4-Star,Forbes Travel Guide,N/A\
93,Canoe,Toronto,Canada,4-Star,Forbes Travel Guide,N/A\
94,Carolina,Riviera Nayarit,Mexico,4-Star,Forbes Travel Guide,N/A\
95,Caviar Russe,New York City,United States,4-Star,Forbes Travel Guide,N/A\
96,The Charleston Grill,Charleston,United States,4-Star,Forbes Travel Guide,N/A\
97,Chez Muffy,Quebec City,Canada,4-Star,Forbes Travel Guide,N/A\
98,Chez Philippe,Memphis,United States,4-Star,Forbes Travel Guide,N/A\
99,Coastal Kitchen,Monterey,United States,4-Star,Forbes Travel Guide,N/A\
100,Cocina de Autor,Los Cabos,Mexico,4-Star,Forbes Travel Guide,N/A\
101,Colt & Alison,Sea Island,United States,4-Star,Forbes Travel Guide,N/A\
102,CORE Kitchen & Wine Bar,Tucson,United States,4-Star,Forbes Travel Guide,N/A\
103,Cortina,Southwestern Montana,United States,4-Star,Forbes Travel Guide,N/A\
104,Cress on Oak Creek,Sedona,United States,4-Star,Forbes Travel Guide,N/A\
105,Cucina,Hong Kong,China,4-Star,Forbes Travel Guide,N/A\
106,CUT Las Vegas,Las Vegas,United States,4-Star,Forbes Travel Guide,N/A\
107,CUT Singapore,Singapore,Singapore,4-Star,Forbes Travel Guide,N/A\
108,Cuv\'e9e at Chatham Inn,Cape Cod,United States,4-Star,Forbes Travel Guide,N/A\
109,Deuxave,Boston,United States,4-Star,Forbes Travel Guide,N/A\
110,Dining Room at Inn on Biltmore Estate,Asheville and Highlands,United States,4-Star,Forbes Travel Guide,N/A\
111,Dining Room (SeaDream II),Miami,United States,4-Star,Forbes Travel Guide,N/A\
112,Don Manuel's,Los Cabos,Mexico,4-Star,Forbes Travel Guide,N/A\
113,The Elderberry House,Tahoe and Yosemite,United States,4-Star,Forbes Travel Guide,N/A\
114,Element 47,Aspen,United States,4-Star,Forbes Travel Guide,N/A\
115,Est,Tokyo,Japan,4-Star,Forbes Travel Guide,N/A\
116,FARM,Napa,United States,4-Star,Forbes Travel Guide,N/A\
117,Fearing\'92s Restaurant,Dallas,United States,4-Star,Forbes Travel Guide,N/A\
118,The Fearrington House Restaurant,Raleigh-Durham,United States,4-Star,Forbes Travel Guide,N/A\
119,Fine Cut Steakhouse (Ascent),Miami,United States,4-Star,Forbes Travel Guide,N/A\
120,Florie's,Palm Beach,United States,4-Star,Forbes Travel Guide,N/A\
121,Flybridge,Palm Beach,United States,4-Star,Forbes Travel Guide,N/A\
122,Gaia at Maykana,Riviera Maya,Mexico,4-Star,Forbes Travel Guide,N/A\
123,Garrison,Austin,United States,4-Star,Forbes Travel Guide,N/A\
124,Gary Danko,San Francisco,United States,4-Star,Forbes Travel Guide,N/A\
125,Genting Palace,Las Vegas,United States,4-Star,Forbes Travel Guide,N/A\
126,Geronimo,Santa Fe,United States,4-Star,Forbes Travel Guide,N/A\
127,Glitretind Restaurant,Park City,United States,4-Star,Forbes Travel Guide,N/A\
128,Gramercy Tavern,New York City,United States,4-Star,Forbes Travel Guide,N/A\
129,The Grill Room,New Orleans,United States,4-Star,Forbes Travel Guide,N/A\
130,Hazel Hill,Sonoma,United States,4-Star,Forbes Travel Guide,N/A\
131,H\'e9ritage by Kei Kobayashi,Tokyo,Japan,4-Star,Forbes Travel Guide,N/A\
132,Iggy's,Singapore,Singapore,4-Star,Forbes Travel Guide,N/A\
133,Il Mulino New York,Miami,United States,4-Star,Forbes Travel Guide,N/A\
134,The Immigrant Restaurant at The American Club,Kohler,United States,4-Star,Forbes Travel Guide,N/A\
135,Jean-Georges Shanghai,Shanghai,China,4-Star,Forbes Travel Guide,N/A\
136,Jin Sha,Hangzhou,China,4-Star,Forbes Travel Guide,N/A\
137,Jin Xuan Chinese Restaurant,Shanghai,China,4-Star,Forbes Travel Guide,N/A\
138,Joni Restaurant,Toronto,Canada,4-Star,Forbes Travel Guide,N/A\
139,JORY at The Allison Inn,Willamette Valley,United States,4-Star,Forbes Travel Guide,N/A\
140,Kappo Rin,Hong Kong,China,4-Star,Forbes Travel Guide,N/A\
141,Knife & Spoon,Orlando,United States,4-Star,Forbes Travel Guide,N/A\
142,Kusa Nori,Las Vegas,United States,4-Star,Forbes Travel Guide,N/A\
143,Lacroix at The Rittenhouse,Philadelphia,United States,4-Star,Forbes Travel Guide,N/A\
144,Lai Heen,Macau,China,4-Star,Forbes Travel Guide,N/A\
145,L'Atelier de Jo\'ebl Robuchon Las Vegas,Las Vegas,United States,4-Star,Forbes Travel Guide,N/A\
146,Le Comptoir de Pierre Gagnaire,Shanghai,China,4-Star,Forbes Travel Guide,N/A\
147,Le Pavillon,New York City,United States,4-Star,Forbes Travel Guide,N/A\
148,Lido Restaurant at The Surf Club,Miami,United States,4-Star,Forbes Travel Guide,N/A\
149,Lilac,Tampa,United States,4-Star,Forbes Travel Guide,N/A\
150,Los Fuegos By Francis Mallmann,Miami,United States,4-Star,Forbes Travel Guide,N/A\
151,Lucia Restaurant & Bar,Monterey,United States,4-Star,Forbes Travel Guide,N/A\
152,Man Wah,Hong Kong,China,4-Star,Forbes Travel Guide,N/A\
153,The Mansion Restaurant,Dallas,United States,4-Star,Forbes Travel Guide,N/A\
154,Marea,New York City,United States,4-Star,Forbes Travel Guide,N/A\
155,mar'sel,Los Angeles,United States,4-Star,Forbes Travel Guide,N/A\
156,Michael Mina,Las Vegas,United States,4-Star,Forbes Travel Guide,N/A\
157,Mio,Beijing,China,4-Star,Forbes Travel Guide,N/A\
158,Mizumi at Wynn Las Vegas,Las Vegas,United States,4-Star,Forbes Travel Guide,N/A\
159,The Modern,New York City,United States,4-Star,Forbes Travel Guide,N/A\
160,Napa Rose,Orange County,United States,4-Star,Forbes Travel Guide,N/A\
161,Navio,San Francisco,United States,4-Star,Forbes Travel Guide,N/A\
162,The Painted Lady Restaurant,Portland,United States,4-Star,Forbes Travel Guide,N/A\
163,Pao by Paul Qui,Miami,United States,4-Star,Forbes Travel Guide,N/A\
164,The Pines Modern Steakhouse,Inland Empire,United States,4-Star,Forbes Travel Guide,N/A\
165,Positivo Sand Bar,Puerto Rico,Puerto Rico,4-Star,Forbes Travel Guide,N/A\
166,Primo,Orlando,United States,4-Star,Forbes Travel Guide,N/A\
167,Providence,Los Angeles,United States,4-Star,Forbes Travel Guide,N/A\
168,Quince,San Francisco,United States,4-Star,Forbes Travel Guide,N/A\
169,Rare Steakhouse,Boston,United States,4-Star,Forbes Travel Guide,N/A\
170,The Restaurant at Auberge du Soleil,Napa,United States,4-Star,Forbes Travel Guide,N/A\
171,Restaurant Petrus,Hong Kong,China,4-Star,Forbes Travel Guide,N/A\
172,Restaurante HA',Riviera Maya,Mexico,4-Star,Forbes Travel Guide,N/A\
173,RIME Seafood & Steak,Park City,United States,4-Star,Forbes Travel Guide,N/A\
174,River House,Hilton Head,United States,4-Star,Forbes Travel Guide,N/A\
175,Riverhorse on Main,Park City,United States,4-Star,Forbes Travel Guide,N/A\
176,R\'f9n,Hong Kong,China,4-Star,Forbes Travel Guide,N/A\
177,Sabatini Ristorante Italiano at The Royal Garden,Hong Kong,China,4-Star,Forbes Travel Guide,N/A\
178,Saffron,Macau,China,4-Star,Forbes Travel Guide,N/A\
179,San Laurel,Los Angeles,United States,4-Star,Forbes Travel Guide,N/A\
180,Scaramouche,Toronto,Canada,4-Star,Forbes Travel Guide,N/A\
181,S.E.A. (Evrima),Malta,Malta,4-Star,Forbes Travel Guide,N/A\
182,Seafire Steakhouse & Bar,Dubai,United Arab Emirates,4-Star,Forbes Travel Guide,N/A\
183,Shanghai Terrace,Chicago,United States,4-Star,Forbes Travel Guide,N/A\
184,Shikon by Yoshitake,Hong Kong,China,4-Star,Forbes Travel Guide,N/A\
185,Sinatra,Las Vegas,United States,4-Star,Forbes Travel Guide,N/A\
186,Sir Elly's Restaurant,Shanghai,China,4-Star,Forbes Travel Guide,N/A\
187,The Social Haus,Southwestern Montana,United States,4-Star,Forbes Travel Guide,N/A\
188,SOMM,Hong Kong,China,4-Star,Forbes Travel Guide,N/A\
189,Spago Singapore,Singapore,Singapore,4-Star,Forbes Travel Guide,N/A\
190,Spago,Maui,United States,4-Star,Forbes Travel Guide,N/A\
191,STARS at Chatham Bars Inn,Cape Cod,United States,4-Star,Forbes Travel Guide,N/A\
192,Stay by Yannick All\'e9no,Dubai,United Arab Emirates,4-Star,Forbes Travel Guide,N/A\
193,The Steakhouse at Agua Caliente Resort Casino Spa Rancho Mirage,Palm Springs,United States,4-Star,Forbes Travel Guide,N/A\
194,Summit,Colorado Springs,United States,4-Star,Forbes Travel Guide,N/A\
195,SW Steakhouse at Wynn Las Vegas,Las Vegas,United States,4-Star,Forbes Travel Guide,N/A\
196,Tambourine Room by Tristan Brandt,Miami,United States,4-Star,Forbes Travel Guide,N/A\
197,T'ang Court, Shanghai,Shanghai,China,4-Star,Forbes Travel Guide,N/A\
198,TOCA Restaurant,Toronto,Canada,4-Star,Forbes Travel Guide,N/A\
199,Topper's,Nantucket,United States,4-Star,Forbes Travel Guide,N/A\
200,Toque!,Montreal,Canada,4-Star,Forbes Travel Guide,N/A\
201,Tosca di Angelo,Hong Kong,China,4-Star,Forbes Travel Guide,N/A\
202,Tree Room,Park City,United States,4-Star,Forbes Travel Guide,N/A\
203,TS Steakhouse at Turning Stone,The Adirondacks,United States,4-Star,Forbes Travel Guide,N/A\
204,Vida Rica Restaurant,Macau,China,4-Star,Forbes Travel Guide,N/A\
205,Vintage Restaurant,Charlottesville,United States,4-Star,Forbes Travel Guide,N/A\
206,Wildflowers at Turning Stone,The Adirondacks,United States,4-Star,Forbes Travel Guide,N/A\
207,Yamazato Tokyo,Tokyo,Japan,4-Star,Forbes Travel Guide,N/A\
208,Yolan,Nashville,United States,4-Star,Forbes Travel Guide,N/A\
209,Yuta,Park City,United States,4-Star,Forbes Travel Guide,N/A\
210,1 Pico,Los Angeles,United States,Recommended,Forbes Travel Guide,N/A\
211,A.R. Valentien,San Diego,United States,Recommended,Forbes Travel Guide,N/A\
212,Ariana's Persian Kitchen,Dubai,United Arab Emirates,Recommended,Forbes Travel Guide,N/A\
213,Artisans Restaurant,The Adirondacks,United States,Recommended,Forbes Travel Guide,N/A\
214,AVANT,San Diego,United States,Recommended,Forbes Travel Guide,N/A\
215,Azurea,Jacksonville,United States,Recommended,Forbes Travel Guide,N/A\
216,Bistro Napa,Reno,United States,Recommended,Forbes Travel Guide,N/A\
217,Blue Duck Tavern,Washington, D.C.,United States,Recommended,Forbes Travel Guide,N/A\
218,Bouchon,Las Vegas,United States,Recommended,Forbes Travel Guide,N/A\
219,Bourbon Steak DC,Washington, D.C.,United States,Recommended,Forbes Travel Guide,N/A\
220,Bourbon Steak, Miami by Michael Mina,Miami,United States,Recommended,Forbes Travel Guide,N/A\
221,The Bugler,Little Rock,United States,Recommended,Forbes Travel Guide,N/A\
222,Butcher's Block,Singapore,Singapore,Recommended,Forbes Travel Guide,N/A\
223,Caf\'e9 Boulud Toronto,Toronto,Canada,Recommended,Forbes Travel Guide,N/A\
224,Caf\'e9 du Parc,Washington, D.C.,United States,Recommended,Forbes Travel Guide,N/A\
225,Candles (Star Pride),Miami,United States,Recommended,Forbes Travel Guide,N/A\
226,Capa,Orlando,United States,Recommended,Forbes Travel Guide,N/A\
227,Chandlers Prime Steaks & Fine Seafood,Boise,United States,Recommended,Forbes Travel Guide,N/A\
228,Craftsteak,Las Vegas,United States,Recommended,Forbes Travel Guide,N/A\
229,CUT Beverly Hills,Los Angeles,United States,Recommended,Forbes Travel Guide,N/A\
230,Edge Restaurant & Bar,Denver,United States,Recommended,Forbes Travel Guide,N/A\
231,Evelyn\'92s Fort Lauderdale,Fort Lauderdale,United States,Recommended,Forbes Travel Guide,N/A\
232,Fairview Dining Room,Raleigh-Durham,United States,Recommended,Forbes Travel Guide,N/A\
233,Farmhouse Inn Restaurant,Sonoma,United States,Recommended,Forbes Travel Guide,N/A\
234,Fine Cut Steakhouse (Apex),Miami,United States,Recommended,Forbes Travel Guide,N/A\
235,Gallery Restaurant,Charlotte,United States,Recommended,Forbes Travel Guide,N/A\
236,Grill 225,Charleston,United States,Recommended,Forbes Travel Guide,N/A\
237,The Grill (Silver Origin),Monte Carlo,Monaco,Recommended,Forbes Travel Guide,N/A\
238,Hakkasan Las Vegas,Las Vegas,United States,Recommended,Forbes Travel Guide,N/A\
239,Hakkasan Miami,Miami,United States,Recommended,Forbes Travel Guide,N/A\
240,The Lambs Club,New York City,United States,Recommended,Forbes Travel Guide,N/A\
241,Layla at MacArthur Place,Sonoma,United States,Recommended,Forbes Travel Guide,N/A\
242,Les Nomades,Chicago,United States,Recommended,Forbes Travel Guide,N/A\
243,Louix Louis,Toronto,Canada,Recommended,Forbes Travel Guide,N/A\
244,Madera,San Jose,United States,Recommended,Forbes Travel Guide,N/A\
245,Madison's Restaurant and Wine Garden,Asheville and Highlands,United States,Recommended,Forbes Travel Guide,N/A\
246,Maison Boulud,Montreal,Canada,Recommended,Forbes Travel Guide,N/A\
247,Matador Room,Miami,United States,Recommended,Forbes Travel Guide,N/A\
248,Mooo,Boston,United States,Recommended,Forbes Travel Guide,N/A\
249,Mott 32 at The Venetian Resort Las Vegas,Las Vegas,United States,Recommended,Forbes Travel Guide,N/A\
250,Mott 32 Singapore,Singapore,Singapore,Recommended,Forbes Travel Guide,N/A\
251,The Narrows Steakhouse,Central Idaho,United States,Recommended,Forbes Travel Guide,N/A\
252,Noi,Hong Kong,China,Recommended,Forbes Travel Guide,N/A\
253,NoMI Kitchen,Chicago,United States,Recommended,Forbes Travel Guide,N/A\
254,The OAK room & bar,Little Rock,United States,Recommended,Forbes Travel Guide,N/A\
255,One Harbour Road,Hong Kong,China,Recommended,Forbes Travel Guide,N/A\
256,One Restaurant,Toronto,Canada,Recommended,Forbes Travel Guide,N/A\
257,Osteria Mozza Residency,Lanai,United States,Recommended,Forbes Travel Guide,N/A\
258,Paros Restaurant,Puerto Rico,Puerto Rico,Recommended,Forbes Travel Guide,N/A\
259,The Polo Lounge,Los Angeles,United States,Recommended,Forbes Travel Guide,N/A\
260,Ponto Lago,San Diego,United States,Recommended,Forbes Travel Guide,N/A\
261,Powder,Park City,United States,Recommended,Forbes Travel Guide,N/A\
262,PY Steakhouse,Tucson,United States,Recommended,Forbes Travel Guide,N/A\
263,Raya,Orange County,United States,Recommended,Forbes Travel Guide,N/A\
264,Rockefeller Room,Williamsburg,United States,Recommended,Forbes Travel Guide,N/A\
265,Shikigiku Japanese Restaurant at IFC Mall,Hong Kong,China,Recommended,Forbes Travel Guide,N/A\
266,Sidecut Steakhouse,Whistler,Canada,Recommended,Forbes Travel Guide,N/A\
267,Sierra Mar Restaurant,Monterey,United States,Recommended,Forbes Travel Guide,N/A\
268,Spruce,San Francisco,United States,Recommended,Forbes Travel Guide,N/A\
269,Stonehouse Restaurant,Santa Barbara,United States,Recommended,Forbes Travel Guide,N/A\
270,Sushi Saito Hong Kong,Hong Kong,China,Recommended,Forbes Travel Guide,N/A\
271,T'ang Court, Hong Kong,Hong Kong,China,Recommended,Forbes Travel Guide,N/A\
272,Tauro Steakhouse,Riviera Maya,Mexico,Recommended,Forbes Travel Guide,N/A\
273,Vestry,New York City,United States,Recommended,Forbes Travel Guide,N/A\
274,WYLD,Vail and Beaver Creek,United States,Recommended,Forbes Travel Guide,N/A\
275,Yi Long Court,Shanghai,China,Recommended,Forbes Travel Guide,N/A\
276,Yong Yi Ting,Shanghai,China,Recommended,Forbes Travel Guide,N/A}