ID,Name,City,Country,Award,Source List,Years Featured,Cuisine\
1,Altius,Pittsburgh,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2020, 2024, 2025",Contemporary American\
2,Ariana,Bend,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary European\
3,Arrowleaf Bistro,Winthrop,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary American\
4,Babette's Cafe,Atlanta,USA,,OpenTable's Most Romantic Restaurants,2018,French\
5,BakerStreet,Fort Wayne,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Contemporary American\
6,Bartolotta's Lake Park Bistro,Milwaukee,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",French\
7,Baxter's Lakeside Grille,Lake Ozark,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",American\
8,Benvenuti's,Norman,USA,,OpenTable's Most Romantic Restaurants,2018,Italian\
9,The Bistro at Gervasi Vineyard,Canton,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2024",Italian\
10,Bistro L'Hermitage,Woodbridge,VA,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2024, 2025",French\
11,Bistro San Martin,Arlington,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary American\
12,Black Cat,Boulder,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Contemporary American\
13,Bob's Steak & Chop House,Various Locations,USA,,OpenTable's Most Romantic Restaurants,2018,Steakhouse\
14,Bolete Restaurant,Bethlehem,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary American\
15,Bookbinder's Seafood and Steakhouse,Richmond,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019, 2022",Steakhouse\
16,Bouchard Restaurant and Inn,Newport,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary French\
17,Caf\'e9 Monarch,Scottsdale,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2020, 2022, 2023, 2024, 2025",Contemporary American\
18,Cafe Provence,Prairie Village,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2020, 2022, 2024",French American\
19,Caprice Bistro,Wilmington,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",French\
20,Carlo & Johnny,Cincinnati,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2020, 2022, 2023, 2024, 2025",Steakhouse\
21,Chandlers Steakhouse,Boise,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2022, 2024, 2025",Steakhouse\
22,Charleston,Baltimore,USA,,OpenTable's Most Romantic Restaurants,2018,American\
23,Charleston Grill,Charleston,USA,,OpenTable's Most Romantic Restaurants,2018,American\
24,Chez Francois - Vermilion,Vermilion,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary French\
25,Christopher's World Grille,Bryan,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Steakhouse\
26,Circa 1886,Charleston,USA,,OpenTable's Most Romantic Restaurants,2018,Southern\
27,Claire's at the Depot,Warrenton,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Contemporary American\
28,Collage Restaurant,St. Augustine,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2020, 2022, 2024, 2025",Global, International\
29,Connors Steak & Seafood - Huntsville,Huntsville,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019, 2023",Steakhouse\
30,Donatello,Tampa,USA,,OpenTable's Most Romantic Restaurants,2018,Italian\
31,El Gaucho - Tacoma,Tacoma,USA,,OpenTable's Most Romantic Restaurants,2018,Steak\
32,Enzo's on the Lake,Longwood,USA,,OpenTable's Most Romantic Restaurants,2018,Italian\
33,Erling Jensen The Restaurant,Memphis,USA,,OpenTable's Most Romantic Restaurants,2018,Continental\
34,Erminia Ristorante,New York,USA,,OpenTable's Most Romantic Restaurants,2018,Italian\
35,The Fig Tree Restaurant,Charlotte,USA,,OpenTable's Most Romantic Restaurants,2018,Continental\
36,Flight Restaurant & Wine Bar - Memphis,Memphis,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2020, 2022, 2024, 2025",American\
37,Folk's Folly Prime Steak House,Memphis,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Steakhouse\
38,Four Winds Steakhouse,Wills Point,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Steakhouse\
39,Franklinville Inn,Franklinville,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2024, 2025",Steak\
40,Frog Hollow Tavern,Augusta,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary American\
41,The Gamekeeper,Boone,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",American\
42,Geronimo,Santa Fe,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2020, 2022, 2023, 2024, 2025",Fusion / Eclectic\
43,Gracie's,Providence,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Contemporary American\
44,The Grill - The Ritz-Carlton, Naples,Naples,USA,,OpenTable's Most Romantic Restaurants,2018,Steakhouse\
45,Hanover Street Chophouse,Manchester,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Steak\
46,Harvest Beat,Seattle,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Vegan\
47,Hugo's Cellar - Four Queens,Las Vegas,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2024",Continental\
48,The Inn at Little Washington,Washington,USA,,OpenTable's Most Romantic Restaurants,2018,American\
49,The Ivy Inn Restaurant,Charlottesville,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2022, 2024, 2025",Contemporary American\
50,Jeff Ruby's Steakhouse - Louisville,Louisville,USA,,OpenTable's Most Romantic Restaurants,"2018, 2022",Steak\
51,Katherine's Steakhouse,Mesquite,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Steakhouse\
52,L'Auberge Chez Francois,Great Falls,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2020, 2022, 2024, 2025",French\
53,La Fable,Rehoboth Beach,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",French\
54,Latitudes on Sunset Key,Key West,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2023, 2024, 2025",Contemporary American\
55,Le Vallauris,Palm Springs,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2024",French\
56,Le Yaca,Williamsburg,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2024, 2025",French\
57,Lemaire at The Jefferson Hotel,Richmond,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2022, 2024",Contemporary American\
58,Lewnes' SteakHouse,Annapolis,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019, 2020",Steakhouse\
59,Mahogany Prime,Various Locations,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Steak\
60,The Melting Pot,Various Locations,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Fondue\
61,Mizuna,Denver,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Contemporary French\
62,Mucca Osteria,Portland,USA,,OpenTable's Most Romantic Restaurants,2018,Italian\
63,Nineteen61,Lakeland,USA,,OpenTable's Most Romantic Restaurants,2018,Latin / Spanish\
64,Nocturne,Denver,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary American\
65,The Ocean House Restaurant - Cape Cod,Dennis Port,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary American\
66,Orchids at Palm Court,Cincinnati,USA,,OpenTable's Most Romantic Restaurants,"2018",Contemporary American\
67,Over The Moon Cafe,Tacoma,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2024",American\
68,Oyster Loft,Pismo Beach,USA,,OpenTable's Most Romantic Restaurants,2018,Seafood\
69,Paseo Grill,Oklahoma City,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",American\
70,Pellana,Peabody,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Steakhouse\
71,Peninsula Grill,Charleston,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2020, 2024",American\
72,Perry's Steakhouse & Grille - Birmingham,Birmingham,USA,,OpenTable's Most Romantic Restaurants,2018,Steakhouse\
73,Peter Shields Inn,Cape May,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019, 2020",American\
74,Pier W,Cleveland,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2022, 2023, 2024, 2025",Contemporary American\
75,The Precinct,Cincinnati,USA,,OpenTable's Most Romantic Restaurants,"2018, 2022",Steak\
76,The Prime Rib - Baltimore (The Original),Baltimore,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",American\
77,Red Prime Steak,Oklahoma City,USA,,OpenTable's Most Romantic Restaurants,2018,Steakhouse\
78,The Refectory Restaurant & Bistro,Columbus,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary French / American\
79,Restaurant L,Cincinnati,USA,,OpenTable's Most Romantic Restaurants,2018,French\
80,Restaurant Lorena's,Maplewood,USA,,OpenTable's Most Romantic Restaurants,2018,French\
81,Ristorante Lombardo,Buffalo,USA,,OpenTable's Most Romantic Restaurants,2018,Italian\
82,River Cafe,Brooklyn,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2024, 2025",American\
83,Rudy & Paco Restaurant & Bar,Galveston,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Seafood\
84,Russell's Steaks, Chops, and More,Williamsville,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2022, 2024",Steak\
85,Ryan's Restaurant,Winston-Salem,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2022, 2024, 2025",Steak\
86,The Saddle River Inn,Saddle River,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019, 2020",French\
87,Saint Jacques French Cuisine,Raleigh,USA,,OpenTable's Most Romantic Restaurants,2018,French\
88,Scalini Fedeli - Chatham,Chatham,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Italian\
89,Second Empire Restaurant and Tavern,Raleigh,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary American\
90,Signature, Inspired by Chef Andrew Weissman,San Antonio,USA,,OpenTable's Most Romantic Restaurants,2018,American\
91,Southern Social,Germantown,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2020, 2022, 2023, 2025",American\
92,St. John's Restaurant,Chattanooga,USA,,OpenTable's Most Romantic Restaurants,2018,American\
93,Stonehouse at San Ysidro Ranch,Santa Barbara,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2024, 2025",Contemporary American\
94,The Tailor and the Cook,Utica,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary American\
95,Tony's - St. Louis,St. Louis,USA,,OpenTable's Most Romantic Restaurants,2018,Italian\
96,Truluck's Seafood, Steak and Crab House - Austin Arboretum,Austin,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019, 2025",Seafood\
97,The Victor Cafe,Philadelphia,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019, 2020",Italian\
98,Vintage Year,Montgomery,USA,,OpenTable's Most Romantic Restaurants,2018,American\
100,Webb Custom Kitchen,Gastonia,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary American\
101,801 Chophouse \'96 Des Moines,Des Moines,USA,,OpenTable's Most Romantic Restaurants,2019,Steakhouse\
103,Atlantis Steakhouse - Atlantis Casino Resort Spa,Reno,USA,,OpenTable's Most Romantic Restaurants,2019,Steakhouse\
107,Belvedere Inn Restaurant and Bar,Lancaster,USA,,OpenTable's Top 100 Romantic Restaurants,"2019, 2024, 2025",American\
110,Bohanan's Prime Steaks and Seafood,San Antonio,USA,,OpenTable's Top 100 Romantic Restaurants,"2019, 2022, 2025",Steakhouse\
117,Chef's Table at the Edgewater,Winter Garden,USA,,OpenTable's Most Romantic Restaurants,"2019, 2020",American\
118,Chimney Park,Windsor,USA,,OpenTable's Most Romantic Restaurants,"2019, 2020",Contemporary American\
124,Aurelia at Castle Hill,Newport,USA,,OpenTable's Most Romantic Restaurants,2019,Farm-to-table\
125,Flagstaff House,Boulder,USA,,OpenTable's Top 100 Romantic Restaurants,"2019, 2024, 2025",Contemporary American\
126,Fleurie,Charlottesville,USA,,OpenTable's Most Romantic Restaurants,2019,French\
133,Gracie's,Providence,USA,,OpenTable's Most Romantic Restaurants,"2019",Contemporary American\
138,Jag's Steak & Seafood,West Chester,USA,,OpenTable's Top 100 Romantic Restaurants,"2019, 2022, 2025",Steakhouse\
139,Joe Vicari's Andiamo Italian Steakhouse @ The D Las Vegas,Las Vegas,USA,,OpenTable's Most Romantic Restaurants,2019,Italian\
144,Le Yaca - Williamsburg,Williamsburg,USA,,OpenTable's Top 100 Romantic Restaurants,"2019, 2024, 2025",French\
147,Lon's at The Hermosa,Paradise Valley,USA,,OpenTable's Top 100 Romantic Restaurants,"2019, 2020, 2022, 2023, 2024, 2025",American\
148,Mahogany Prime Steakhouse - Tulsa,Tulsa,USA,,OpenTable's Most Romantic Restaurants,2019,Steak\
149,Majorelle at The Lowell,New York,USA,,OpenTable's Most Romantic Restaurants,2019,French\
150,Melting Pot - Charlotte - Lake Norman,Huntersville,USA,,OpenTable's Most Romantic Restaurants,2019,Fondue\
151,Millwright's Restaurant,Simsbury,USA,,OpenTable's Top 100 Romantic Restaurants,"2019, 2024, 2025",American\
152,Minerva's - Sioux Falls,Sioux Falls,USA,,OpenTable's Most Romantic Restaurants,2019,American\
154,Mo's A Place for Steaks - Milwaukee,Milwaukee,USA,,OpenTable's Most Romantic Restaurants,2019,Steak\
155,Montalcino Ristorante Italiano,Issaquah,USA,,OpenTable's Most Romantic Restaurants,"2019, 2020",Italian\
157,Myron's at Alon Town Center,San Antonio,USA,,OpenTable's Most Romantic Restaurants,2019,Steak\
170,Sorrento Ristorante Italiano,Houston,USA,,OpenTable's Most Romantic Restaurants,"2019",Italian\
171,Strip Steakhouse,Avon / Avon Lake,USA,,OpenTable's Most Romantic Restaurants,2019,Steakhouse\
176,Wally's Desert Turtle,Rancho Mirage,USA,,OpenTable's Top 100 Romantic Restaurants,"2019, 2025",Contemporary American\
178,Aba - Chicago,Chicago,USA,,OpenTable's Most Romantic Restaurants,2020,Mediterranean\
179,Allora,Sacramento,USA,,OpenTable's Top 100 Romantic Restaurants,"2020, 2024",Seafood\
181,Annie Gunn's,Chesterfield,USA,,OpenTable's Most Romantic Restaurants,2020,American\
182,Arethusa al Tavolo,Bantam,USA,,OpenTable's Most Romantic Restaurants,2020,Contemporary American\
183,The Restaurant at Auberge du Soleil,Rutherford,USA,,OpenTable's Most Romantic Restaurants,2020,French\
184,Barclay Prime,Philadelphia,USA,,OpenTable's Most Romantic Restaurants,"2020",Steakhouse\
185,Barolo Grill,Denver,USA,,OpenTable's Top 100 Romantic Restaurants,"2020, 2025",Italian\
186,Blue Ridge Grill,Atlanta,USA,,OpenTable's Most Romantic Restaurants,2020,American\
187,BOCA,Cincinnati,USA,,OpenTable's Top 100 Romantic Restaurants,"2020, 2022, 2024, 2025",Contemporary European\
188,Boka,Chicago,USA,,OpenTable's Most Romantic Restaurants,2020,Contemporary American\
189,Bones,Atlanta,USA,,OpenTable's Most Romantic Restaurants,"2020, 2022",Steak\
190,Boulevard,San Francisco,USA,,OpenTable's Most Romantic Restaurants,2020,Californian\
191,Brewery Bhavana - Downtown,Raleigh,USA,,OpenTable's Most Romantic Restaurants,2020,Brewery\
192,Bull & Bear Steakhouse,Lake Buena Vista,USA,,OpenTable's Most Romantic Restaurants,2020,Unspecified\
193,Butcher & Singer,Philadelphia,USA,,OpenTable's Top 100 Romantic Restaurants,"2020, 2025",Steak\
194,Ca Del Sole,North Hollywood,USA,,OpenTable's Most Romantic Restaurants,"2020, 2022",Italian\
195,Caf\'e9 Ba-Ba-Reeba,Chicago,USA,,OpenTable's Most Romantic Restaurants,2020,Tapas / Small Plates\
196,Cafe Juanita,Kirkland,USA,,OpenTable's Most Romantic Restaurants,2020,Italian\
199,The Capital Grille - Baltimore,Baltimore,USA,,OpenTable's Most Romantic Restaurants,2020,Steakhouse\
200,The Capital Grille - Boston,Boston,USA,,OpenTable's Most Romantic Restaurants,2020,Steakhouse\
201,The Capital Grille - Lombard,Lombard,USA,,OpenTable's Most Romantic Restaurants,2020,Steakhouse\
202,The Capital Grille - Minneapolis,Minneapolis,USA,,OpenTable's Most Romantic Restaurants,2020,Steakhouse\
203,The Capital Grille - Costa Mesa,Costa Mesa,USA,,OpenTable's Most Romantic Restaurants,2020,Steakhouse\
206,Chez Billy Sud,Washington,USA,,OpenTable's Most Romantic Restaurants,2020,French\
208,Chops Lobster Bar - Atlanta,Atlanta,USA,,OpenTable's Most Romantic Restaurants,2020,Steak\
210,Dominick's Steakhouse,Scottsdale,USA,,OpenTable's Top 100 Romantic Restaurants,"2020, 2022, 2023",Steakhouse\
211,Eddie V's - 5th Street,Austin,USA,,OpenTable's Most Romantic Restaurants,2020,Seafood\
212,Eddie V's - Orlando,Orlando,USA,,OpenTable's Most Romantic Restaurants,2020,Seafood\
213,Estiatorio Milos \'96 Midtown New York,New York,USA,,OpenTable's Most Romantic Restaurants,2020,Seafood\
214,Fat Canary,Williamsburg,USA,,OpenTable's Most Romantic Restaurants,2020,Contemporary American\
217,Gibsons Italia,Chicago,USA,,OpenTable's Most Romantic Restaurants,2020,Italian\
218,Girl & the Goat,Chicago,USA,,OpenTable's Most Romantic Restaurants,2020,Contemporary American\
219,GW Fins,New Orleans,USA,,OpenTable's Top 100 Romantic Restaurants,"2020, 2022, 2023, 2025",Seafood\
220,J-Prime Steakhouse San Antonio,San Antonio,USA,,OpenTable's Most Romantic Restaurants,"2020, 2022",Steakhouse\
221,Jacques' Brasserie at L'Auberge Chez Francois,Great Falls,USA,,OpenTable's Most Romantic Restaurants,2020,French\
222,joan's in the Park,Saint Paul,USA,,OpenTable's Most Romantic Restaurants,2020,American\
223,Joe's Seafood, Prime Steak & Stone Crab,Chicago,USA,,OpenTable's Most Romantic Restaurants,"2020",Seafood\
224,Joe's Seafood, Prime Steak & Stone Crab - Las Vegas,Las Vegas,USA,,OpenTable's Most Romantic Restaurants,"2020, 2023",Seafood\
